UAL;Age;Injection;Hydrolysis;Station;specimen_no;depth (cm);max. depth (cm);5 cm group (cm);taxon;Outlier;Contamination;Replicate;ageMedian;ageYng;ageOld;Asp_DL;Glu_DL;DL_Ser;DL_Ala;DL_Val;DL_Phe;DL_Ile;DL_Leu;L-Ser/     L-Asp;[Asp];[Glu];[Ser];[Ala];[Val];[Phe];[Ile];[Leu];[total];L Asp;D Asp;L Glu;D Glu;L Ser;D Ser;Gly;L Ala;L hArg;D Ala;L Val;D Val;L Phe;L Ile;D Phe;L Leu;D aIle;D Leu;Valve
11906;53;2ul10;6;Pan M28;Pan M28-10-12-017;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.083;0.028;0.078;0.046;0.008;0.019;0.025;0.035;0.4;4437;2224;1880;1947;1887;584;927;1083;14969;4583;382;2422;67;1952;152;4759;2083;224;95;2094;17;641;1012;12;1172;25;41;right
11907;48;2ul10;6;Pan M28;Pan M28-10-12-018;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.081;0.024;0.090;0.037;0.010;0.036;0.010;0.013;0.4;2426;1489;1060;995;678;287;338;458;7729;2592;209;1678;40;1123;101;1552;1108;231;41;775;8;319;387;12;522;4;7;right
11908;53;2ul10;6;Pan M28;Pan M28-10-12-019;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.083;0.029;0.076;0.051;0.008;0.015;0.017;0.021;0.4;6210;3243;2386;2245;2682;656;1208;1294;19924;6547;542;3597;105;2532;191;5908;2439;228;124;3036;26;738;1357;11;1446;23;31;right
11909;48;2ul10;6;Pan M28;Pan M28-10-12-020;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.081;0.026;0.084;0.042;0.009;0.030;0.010;0.026;0.4;5102;2919;2207;2188;2003;719;936;1153;17226;19559;1591;11789;310;8439;708;16263;8701;829;367;8232;73;2895;3842;86;4661;37;120;right
11910;NA;2ul10;6;Pan M28;Pan M28-10-12-021;10-12;12;12;Corbula gibba;outlier;Asp DL-Glu DL;;NA;NA;NA;0.055;0.014;0.077;0.018;0.005;0.024;0.025;0.009;0.4;2689;1070;1104;1089;604;247;284;467;7554;3205;175;1327;18;1287;100;4139;1346;251;24;755;4;304;348;7;582;9;5;right
11911;33;2ul10;6;Pan M28;Pan M28-10-12-022;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.074;0.029;0.077;0.038;0.009;0.040;0.017;0.014;0.3;4500;2000;1568;1595;2316;483;976;962;14401;5414;403;2513;72;1881;146;7054;1985;259;76;2966;28;600;1241;24;1227;21;18;right
11912;89;2ul10;6;Pan M28;Pan M28-10-12-023;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.095;0.030;0.087;0.039;0.009;0.050;0.009;0.034;0.3;3456;1638;1197;1242;1450;383;637;715;10717;15722;1499;7922;240;5487;476;16864;5959;997;230;7159;65;1818;3147;90;3448;28;117;right
11913;266;2ul10;6;Pan M28;Pan M28-10-12-024;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.130;0.039;0.110;0.055;0.022;0.025;0.036;0.042;0.4;3497;1677;1309;1295;956;452;550;691;10428;3383;440;1764;69;1289;142;2713;1341;219;74;1023;23;482;580;12;725;21;31;right
11914;NA;2ul10;6;Pan M28;Pan M28-10-12-025;10-12;12;12;Corbula gibba;outlier;Asp DL-Glu DL;;NA;NA;NA;0.076;0.039;0.087;0.029;0.014;0.033;0.009;0.028;0.5;2628;1477;1274;1235;809;428;468;595;8915;11846;900;6896;268;5686;494;7715;5820;970;170;3872;53;2007;2248;66;2805;21;79;left
11915;61;2ul10;6;Pan M28;Pan M28-10-12-026;10-12;12;12;Corbula gibba;;;;NA;NA;NA;0.086;0.036;0.107;0.038;0.015;0.037;0.009;0.025;0.5;2760;1521;1408;1351;1002;389;413;589;9432;11528;993;6660;237;5767;620;7309;5901;907;226;4480;66;1702;1856;63;2605;16;64;left
